118724, 128, 4, 0
106587, 128, 8, 0
104018, 128, 16, 0
108344, 128, 32, 0
200756, 256, 4, 0
205055, 256, 8, 0
207031, 256, 16, 0
205558, 256, 32, 0
401226, 512, 4, 0
399476, 512, 8, 0
401308, 512, 16, 0
404743, 512, 32, 0
1602081, 2048, 4, 0
1597881, 2048, 8, 0
1611730, 2048, 16, 0
1614753, 2048, 32, 0
25877153, 32768, 4, 0
25613013, 32768, 8, 0
25779643, 32768, 16, 0
25993781, 32768, 32, 0
100514, 128, 4, 1
99863, 128, 8, 1
100004, 128, 16, 1
101328, 128, 32, 1
200968, 256, 4, 1
199663, 256, 8, 1
200995, 256, 16, 1
203653, 256, 32, 1
401370, 512, 4, 1
402146, 512, 8, 1
401190, 512, 16, 1
404113, 512, 32, 1
1608687, 2048, 4, 1
1598580, 2048, 8, 1
1602967, 2048, 16, 1
1618953, 2048, 32, 1
25742464, 32768, 4, 1
25696874, 32768, 8, 1
25897845, 32768, 16, 1
26170482, 32768, 32, 1
102395, 128, 4, 2
101977, 128, 8, 2
102035, 128, 16, 2
102409, 128, 32, 2
204238, 256, 4, 2
202366, 256, 8, 2
204031, 256, 16, 2
203994, 256, 32, 2
407883, 512, 4, 2
406368, 512, 8, 2
418710, 512, 16, 2
410950, 512, 32, 2
1631147, 2048, 4, 2
1626895, 2048, 8, 2
1634880, 2048, 16, 2
1650254, 2048, 32, 2
26304099, 32768, 4, 2
26305739, 32768, 8, 2
26445559, 32768, 16, 2
26686842, 32768, 32, 2
104048, 128, 4, 3
103783, 128, 8, 3
104035, 128, 16, 3
103757, 128, 32, 3
207364, 256, 4, 3
206128, 256, 8, 3
206543, 256, 16, 3
207703, 256, 32, 3
412826, 512, 4, 3
411824, 512, 8, 3
414050, 512, 16, 3
416064, 512, 32, 3
1653820, 2048, 4, 3
1650994, 2048, 8, 3
1658606, 2048, 16, 3
1670206, 2048, 32, 3
26698987, 32768, 4, 3
26561391, 32768, 8, 3
26635233, 32768, 16, 3
26826128, 32768, 32, 3
104823, 128, 4, 4
104698, 128, 8, 4
104676, 128, 16, 4
105178, 128, 32, 4
211765, 256, 4, 4
206894, 256, 8, 4
207613, 256, 16, 4
208985, 256, 32, 4
415919, 512, 4, 4
412945, 512, 8, 4
416274, 512, 16, 4
419063, 512, 32, 4
1658327, 2048, 4, 4
1661932, 2048, 8, 4
1667991, 2048, 16, 4
1681422, 2048, 32, 4
26818674, 32768, 4, 4
26804725, 32768, 8, 4
26940925, 32768, 16, 4
27097814, 32768, 32, 4
