5258, 128, 4, 0
9205, 128, 8, 0
16665, 128, 16, 0
27900, 128, 32, 0
8286, 256, 4, 0
14466, 256, 8, 0
27330, 256, 16, 0
45473, 256, 32, 0
14242, 512, 4, 0
24951, 512, 8, 0
45479, 512, 16, 0
82343, 512, 32, 0
50119, 2048, 4, 0
91280, 2048, 8, 0
164984, 2048, 16, 0
317307, 2048, 32, 0
785544, 32768, 4, 0
1393270, 32768, 8, 0
2616504, 32768, 16, 0
5085826, 32768, 32, 0
3104, 128, 4, 1
5478, 128, 8, 1
10205, 128, 16, 1
19698, 128, 32, 1
6162, 256, 4, 1
10861, 256, 8, 1
20434, 256, 16, 1
39660, 256, 32, 1
12248, 512, 4, 1
21743, 512, 8, 1
41127, 512, 16, 1
78995, 512, 32, 1
49144, 2048, 4, 1
86993, 2048, 8, 1
163406, 2048, 16, 1
318050, 2048, 32, 1
798908, 32768, 4, 1
1396612, 32768, 8, 1
2626881, 32768, 16, 1
5130179, 32768, 32, 1
3100, 128, 4, 2
5463, 128, 8, 2
10213, 128, 16, 2
19981, 128, 32, 2
6155, 256, 4, 2
10866, 256, 8, 2
20923, 256, 16, 2
41211, 256, 32, 2
12483, 512, 4, 2
21890, 512, 8, 2
41736, 512, 16, 2
79984, 512, 32, 2
49671, 2048, 4, 2
87710, 2048, 8, 2
163873, 2048, 16, 2
318703, 2048, 32, 2
786861, 32768, 4, 2
1395599, 32768, 8, 2
2625277, 32768, 16, 2
5125444, 32768, 32, 2
3098, 128, 4, 3
5470, 128, 8, 3
10383, 128, 16, 3
19976, 128, 32, 3
6158, 256, 4, 3
10860, 256, 8, 3
20957, 256, 16, 3
41066, 256, 32, 3
12333, 512, 4, 3
21765, 512, 8, 3
41737, 512, 16, 3
80194, 512, 32, 3
49624, 2048, 4, 3
87810, 2048, 8, 3
164688, 2048, 16, 3
319157, 2048, 32, 3
786176, 32768, 4, 3
1396163, 32768, 8, 3
2627602, 32768, 16, 3
5132112, 32768, 32, 3
3105, 128, 4, 4
5484, 128, 8, 4
10277, 128, 16, 4
20331, 128, 32, 4
6251, 256, 4, 4
11084, 256, 8, 4
21093, 256, 16, 4
41916, 256, 32, 4
12477, 512, 4, 4
21853, 512, 8, 4
41674, 512, 16, 4
80304, 512, 32, 4
49521, 2048, 4, 4
87682, 2048, 8, 4
164037, 2048, 16, 4
321139, 2048, 32, 4
788871, 32768, 4, 4
1397302, 32768, 8, 4
2631410, 32768, 16, 4
5121327, 32768, 32, 4
